step;body_id;x;y;z
58;2;1.39224e+09;-5.33008e+09;0
59;0;4.00458e+09;4.00458e+09;0
59;1;-5.42042e+09;1.41583e+09;0
59;2;1.41583e+09;-5.42042e+09;0
60;0;4.07132e+09;4.07132e+09;0
60;1;-5.51076e+09;1.43943e+09;0
60;2;1.43943e+09;-5.51076e+09;0
61;0;4.13807e+09;4.13807e+09;0
61;1;-5.6011e+09;1.46303e+09;0
61;2;1.46303e+09;-5.6011e+09;0
62;0;4.20481e+09;4.20481e+09;0
62;1;-5.69144e+09;1.48662e+09;0
62;2;1.48662e+09;-5.69144e+09;0
63;0;4.27155e+09;4.27155e+09;0
63;1;-5.78178e+09;1.51022e+09;0
63;2;1.51022e+09;-5.78178e+09;0
64;0;4.3383e+09;4.3383e+09;0
64;1;-5.87212e+09;1.53382e+09;0
64;2;1.53382e+09;-5.87212e+09;0
65;0;4.40504e+09;4.40504e+09;0
65;1;-5.96246e+09;1.55742e+09;0
65;2;1.55742e+09;-5.96246e+09;0
66;0;4.47178e+09;4.47178e+09;0
66;1;-6.0528e+09;1.58101e+09;0
66;2;1.58101e+09;-6.0528e+09;0
67;0;4.53853e+09;4.53853e+09;0
67;1;-6.14314e+09;1.60461e+09;0
67;2;1.60461e+09;-6.14314e+09;0
68;0;4.60527e+09;4.60527e+09;0
68;1;-6.23348e+09;1.62821e+09;0
68;2;1.62821e+09;-6.23348e+09;0
69;0;4.67201e+09;4.67201e+09;0
69;1;-6.32382e+09;1.65181e+09;0
69;2;1.65181e+09;-6.32382e+09;0
70;0;4.73875e+09;4.73875e+09;0
70;1;-6.41416e+09;1.6754e+09;0
70;2;1.6754e+09;-6.41416e+09;0
71;0;4.8055e+09;4.8055e+09;0
71;1;-6.5045e+09;1.699e+09;0
71;2;1.699e+09;-6.5045e+09;0
72;0;4.87224e+09;4.87224e+09;0
72;1;-6.59484e+09;1.7226e+09;0
72;2;1.7226e+09;-6.59484e+09;0
73;0;4.93898e+09;4.93898e+09;0
73;1;-6.68518e+09;1.74619e+09;0
73;2;1.74619e+09;-6.68518e+09;0
74;0;5.00572e+09;5.00572e+09;0
74;1;-6.77552e+09;1.76979e+09;0
74;2;1.76979e+09;-6.77552e+09;0
75;0;5.07247e+09;5.07247e+09;0
75;1;-6.86586e+09;1.79339e+09;0
75;2;1.79339e+09;-6.86586e+09;0
76;0;5.13921e+09;5.13921e+09;0
76;1;-6.9562e+09;1.81699e+09;0
76;2;1.81699e+09;-6.9562e+09;0
77;0;5.20595e+09;5.20595e+09;0
77;1;-7.04654e+09;1.84058e+09;0
77;2;1.84058e+09;-7.04654e+09;0
78;0;5.2727e+09;5.2727e+09;0
78;1;-7.13688e+09;1.86418e+09;0
78;2;1.86418e+09;-7.13688e+09;0
79;0;5.33944e+09;5.33944e+09;0
79;1;-7.22723e+09;1.88778e+09;0
79;2;1.88778e+09;-7.22723e+09;0
80;0;5.40618e+09;5.40618e+09;0
80;1;-7.31757e+09;1.91137e+09;0
80;2;1.91137e+09;-7.31757e+09;0
81;0;5.47292e+09;5.47292e+09;0
81;1;-7.40791e+09;1.93497e+09;0
81;2;1.93497e+09;-7.40791e+09;0
82;0;5.53967e+09;5.53967e+09;0
82;1;-7.49825e+09;1.95857e+09;0
82;2;1.95857e+09;-7.49825e+09;0
83;0;5.60641e+09;5.60641e+09;0
83;1;-7.58859e+09;1.98217e+09;0
83;2;1.98217e+09;-7.58859e+09;0
84;0;5.67315e+09;5.67315e+09;0
84;1;-7.67893e+09;2.00576e+09;0
84;2;2.00576e+09;-7.67893e+09;0
85;0;5.7399e+09;5.7399e+09;0
85;1;-7.76927e+09;2.02936e+09;0
85;2;2.02936e+09;-7.76927e+09;0
86;0;5.80664e+09;5.80664e+09;0
86;1;-7.85961e+09;2.05296e+09;0
86;2;2.05296e+09;-7.85961e+09;0
87;0;5.87338e+09;5.87338e+09;0
87;1;-7.94995e+09;2.07655e+09;0
87;2;2.07655e+09;-7.94995e+09;0
88;0;5.94012e+09;5.94012e+09;0
88;1;-8.04029e+09;2.10015e+09;0
